#{"t_start": 1642770742.7957847, "env_id": "twocarlanechangeScenario-v0"}
r,l,t
376.789941,144,1185.469203
321.732984,151,1186.58848
385.769245,144,1187.776267
411.172854,134,1189.071805
315.065367,144,1190.452112
270.216735,167,1191.707309
278.245786,166,1192.942408
371.578705,144,1194.005156
329.043726,139,1195.032424
393.176521,140,1196.092252
390.909585,146,1197.156442
370.273733,142,1198.213975
254.54986,158,1199.399838
435.754396,139,1200.4497
291.10396,155,1201.60171
300.000007,155,1202.767153
226.805387,168,1204.026363
268.208427,155,1205.186306
273.554006,162,1206.383496
193.067163,164,1207.604182
371.216656,150,1208.754813
402.058852,140,1209.808999
372.235057,141,1210.861616
230.07971,167,1212.105819
407.449888,133,1213.102244
385.00249,138,1214.126577
347.415317,145,1215.20272
413.729821,136,1216.21566
340.441578,150,1217.333025
266.363113,156,1218.482983
380.828456,134,1219.468162
224.37435,162,1220.677091
288.377838,157,1221.856769
324.347129,141,1222.908268
258.27031,156,1224.063432
387.456172,133,1225.054428
355.43715,134,1226.046581
367.049803,137,1227.069922
268.226234,148,1228.167201
424.689237,136,1229.187293
388.619589,142,1230.234294
359.868458,138,1231.26545
210.929684,172,1232.527177
344.354668,144,1233.587158
400.825239,143,1234.652268
361.126611,142,1235.715043
208.701678,170,1236.980181
273.415662,156,1238.150156
332.216508,148,1239.248964
337.761674,144,1240.337579
